path,name,phrase,mfcc_mean0,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_std20,mfcc_std21,mfcc_std22,mfcc_std23,mfcc_std24,mfcc_std25,mfcc_std26,mfcc_std27,mfcc_std28,mfcc_std29,mfcc_std30,mfcc_std31,mfcc_std32,mfcc_std33,mfcc_std34,mfcc_std35,mfcc_std36,mfcc_std37,mfcc_std38,mfcc_std39,cent_mean,cent_std,cent_skew,rolloff_mean,rolloff_std
./fastapi_app/Голосовые/Арина/Титова Арина Шкаф (2).wav,Арина,Шкаф,-392.996,65.979,-8.169,13.406,15.338,21.693,-13.897,-1.77,6.429,0.788,4.674,3.158,-0.721,2.366,1.008,3.732,-9.873,-4.392,2.111,-7.809,198.845,51.841,43.207,20.39,22.112,11.453,19.155,11.76,9.774,10.266,6.026,7.355,8.172,10.638,6.063,5.038,9.497,5.886,5.971,6.412,2568.506,825.619,-0.134,5491.211,1946.288
./fastapi_app/Голосовые/Арина/Титова Арина Шкаф (3).wav,Арина,Шкаф,-385.25,70.094,-9.902,9.102,10.034,18.028,-19.217,2.957,6.677,-0.313,2.794,4.322,-5.113,-0.305,0.733,0.018,-10.628,-2.531,1.711,-5.176,191.406,50.204,39.165,21.315,19.445,9.605,19.838,12.964,8.664,11.268,7.327,5.251,9.405,6.904,4.758,3.567,7.574,4.54,2.964,6.567,2710.779,1029.024,0.776,5550.183,1876.913
./fastapi_app/Голосовые/Арина/Титова Арина Шкаф (4).wav,Арина,Шкаф,-312.011,56.496,-27.49,10.568,11.456,13.957,-23.903,-6.526,0.554,4.418,0.211,3.853,-0.697,3.692,-0.88,1.219,-10.851,-2.895,3.61,-8.792,179.159,53.04,30.886,24.581,22.5,14.252,14.483,10.729,8.222,11.479,9.265,7.045,11.332,12.094,7.423,5.762,9.023,4.562,4.402,7.686,2880.516,918.018,-0.272,5527.916,1895.217
./fastapi_app/Голосовые/Валентин/Балачков Валентин Вход (1).wav,Валентин,Вход,-344.365,113.374,15.168,10.392,3.461,-0.381,5.721,-1.327,-1.075,-2.534,3.125,1.542,2.201,4.089,3.029,5.069,-0.28,0.332,-2.1,0.61,99.253,56.161,22.612,20.003,19.897,24.448,13.645,7.041,12.681,7.604,8.378,8.619,6.228,7.111,5.988,5.215,5.202,6.27,2.932,3.835,2139.878,1268.144,0.478,4211.454,2843.02
./fastapi_app/Голосовые/Валентин/Балачков Валентин Вход (2).wav,Валентин,Вход,-363.028,103.262,21.442,17.697,9.191,1.588,12.439,0.985,3.839,0.579,7.582,0.64,4.243,6.535,2.011,9.888,2.099,3.476,-0.717,3.642,114.842,59.668,22.705,18.568,18.57,28.936,12.887,12.162,15.628,9.967,6.321,9.084,4.781,7.822,5.86,6.7,5.434,5.017,5.222,4.046,2116.841,1090.363,0.897,4810.958,2511.585
./fastapi_app/Голосовые/Валентин/Балачков Валентин Вход (3).wav,Валентин,Вход,-354.724,102.775,10.971,6.325,2.269,-8.695,8.745,-0.621,-2.48,-5.361,0.661,-3.776,3.116,0.382,2.05,4.062,0.524,-0.83,-5.629,2.244,107.172,62.463,26.971,25.041,21.423,28.476,7.583,8.002,14.41,11.255,6.749,10.195,6.646,6.722,8.642,3.526,7.589,5.333,4.415,5.163,2293.552,1231.178,0.489,4634.561,2796.4
./fastapi_app/Голосовые/Валентин/Балачков Валентин Вход (4).wav,Валентин,Вход,-340.163,110.079,10.688,8.817,2.531,-4.583,1.733,-3.97,-0.346,-3.92,3.098,-1.604,2.374,1.302,1.549,4.413,-2.272,-1.328,-4.285,0.913,106.057,55.255,25.846,19.231,17.618,25.908,11.462,10.933,14.663,10.648,5.725,10.069,6.093,6.95,5.789,5.521,4.308,4.061,4.342,4.984,1975.694,1085.872,0.767,3812.6,2383.389
./fastapi_app/Голосовые/Валентин/Балачков Валентин Вход (5).wav,Валентин,Вход,-319.366,85.26,11.459,10.152,-1.086,-4.381,2.952,-4.587,-4.74,-3.618,-0.035,-1.069,1.012,0.447,2.006,5.567,-2.285,2.486,-2.475,1.332,100.846,48.68,20.493,18.222,17.706,20.15,11.44,9.04,10.935,8.347,6.636,8.553,4.087,6.253,4.943,5.893,3.731,4.509,3.662,3.564,2496.937,1145.87,0.217,5392.355,2449.108
./fastapi_app/Голосовые/Валентин/Балачков Валентин Пицца (1).wav,Валентин,Пицца,-346.421,93.461,11.941,26.614,24.189,3.286,4.297,-4.315,-9.508,0.189,2.484,-5.883,0.182,0.474,-3.854,1.529,-4.566,1.081,-6.42,-0.735,124.01,48.092,25.81,29.193,16.341,15.133,8.089,7.141,18.242,8.485,4.665,13.172,7.407,6.683,5.818,7.691,6.754,4.495,7.134,4.464,2286.902,1626.438,1.464,4544.729,2657.624
./fastapi_app/Голосовые/Валентин/Балачков Валентин Пицца (2).wav,Валентин,Пицца,-305.315,88.366,-5.857,21.951,19.778,-3.044,4.824,-6.496,-14.005,-7.718,2.975,-3.427,-0.904,0.488,-2.367,2.223,-5.041,1.829,-6.16,-0.311,118.229,45.79,30.776,19.997,8.341,12.094,7.725,6.087,16.576,6.803,5.995,13.792,7.647,5.981,7.444,7.397,6.035,4.698,6.947,4.071,2526.214,1537.163,1.378,5000.842,2677.139
./fastapi_app/Голосовые/Валентин/Балачков Валентин Пицца (3).wav,Валентин,Пицца,-325.43,95.47,8.202,29.606,28.556,-4.734,-0.435,-9.7,-13.199,-4.008,2.357,-5.556,1.611,2.171,-2.632,3.276,-5.761,1.625,-7.034,1.969,103.149,48.337,23.505,28.287,17.442,17.317,7.97,7.858,15.188,6.079,5.375,13.917,5.071,5.613,7.102,6.782,3.895,5.166,6.856,4.472,2559.247,1610.121,1.371,5023.753,2608.957
./fastapi_app/Голосовые/Валентин/Балачков Валентин Пицца (4).wav,Валентин,Пицца,-361.379,92.884,21.359,24.575,20.454,-6.881,5.389,-7.824,-5.154,-0.247,4.957,-0.984,0.182,3.627,-4.698,2.476,-7.751,1.284,-8.646,0.968,115.357,49.062,27.063,32.419,13.249,15.989,9.999,10.872,14.188,6.51,7.074,11.746,6.362,6.297,8.488,6.21,5.017,6.119,6.073,5.408,2826.436,2005.259,1.296,5661.03,3001.683
./fastapi_app/Голосовые/Валентин/Балачков Валентин Пицца (5).wav,Валентин,Пицца,-345.53,76.162,14.953,35.65,17.468,0.315,-4.335,-6.163,-9.962,-3.083,0.872,-9.864,-3.526,-0.146,-1.18,1.784,-8.527,0.445,-6.079,-0.254,119.9,57.137,25.08,28.069,18.342,16.876,7.376,10.811,13.27,5.781,5.601,11.817,8.11,6.27,7.931,5.796,7.182,3.988,5.87,6.098,2807.719,1834.29,0.816,5343.726,2589.184
./fastapi_app/Голосовые/Валентин/Балачков Валентин Привет (1).wav,Валентин,Привет,-366.865,106.238,-0.454,29.42,30.317,-13.193,3.947,-8.84,-9.969,-2.555,0.188,-9.136,0.531,-1.332,-1.32,2.896,-5.449,4.709,-2.654,2.168,159.867,48.77,41.677,14.989,22.704,26.829,5.81,13.789,13.441,4.879,7.884,13.033,4.561,5.785,6.299,7.241,7.099,7.306,4.696,4.141,1626.998,406.91,-0.112,3630.955,1075.501
./fastapi_app/Голосовые/Валентин/Балачков Валентин Привет (2).wav,Валентин,Привет,-354.995,107.936,-0.371,28.06,26.79,-9.626,-4.854,-7.676,-8.965,-1.496,0.862,-6.505,0.783,0.262,4.053,3.825,-3.708,3.906,-3.234,0.422,137.28,45.413,35.964,18.091,23.071,23.177,10.885,8.34,15.834,5.831,8.798,11.947,4.434,7.854,5.664,7.495,4.476,6.462,2.772,4.6,1899.327,1084.41,1.807,3759.502,1868.283
./fastapi_app/Голосовые/Валентин/Балачков Валентин Привет (3).wav,Валентин,Привет,-326.366,123.783,10.642,32.018,33.756,1.274,5.291,-3.151,-1.124,2.415,7.809,-2.362,3.08,3.729,5.802,6.001,-0.56,5.241,-1.709,3.053,102.117,41.597,34.339,11.491,24.666,22.764,16.163,10.867,16.547,9.056,11.433,13.479,5.703,7.943,5.551,5.083,5.988,5.91,3.828,4.015,1512.389,1093.302,1.731,3088.012,2419.802
./fastapi_app/Голосовые/Валентин/Балачков Валентин Привет (4).wav,Валентин,Привет,-345.255,114.603,3.357,30.646,29.684,-13.298,-1.496,-10.376,-12.122,-5.078,0.765,-8.443,2.009,0.34,1.163,4.874,-4.539,5.62,-2.884,1.584,129.522,50.21,37.52,17.755,27.487,26.497,8.344,9.103,14.808,6.253,9.745,13.328,4.151,7.149,4.802,6.333,7.79,6.439,3.5,4.42,1735.059,1089.368,1.956,3477.903,1857.021
./fastapi_app/Голосовые/Валентин/Балачков Валентин Привет (5).wav,Валентин,Привет,-302.019,118.732,2.166,23.501,18.028,-6.469,-7.373,-11.974,-8.41,-2.993,0.203,-7.646,-3.294,1.402,3.833,-0.741,-4.461,1.133,-5.106,-3.428,129.974,39.141,32.594,20.182,19.993,20.091,10.338,9.017,13.657,8.633,6.398,9.69,3.63,5.496,6.511,6.347,8.042,6.322,5.767,5.578,1719.855,941.567,1.479,3506.486,2115.355
./fastapi_app/Голосовые/Валентин/Балачков Валентин Собака (1).wav,Валентин,Собака,-328.59,135.949,-0.17,4.389,9.781,-9.668,4.564,-8.051,-12.846,-1.714,1.33,0.841,8.872,-5.744,1.263,2.76,-7.856,-2.019,-8.209,-2.126,129.159,73.823,18.636,8.537,10.125,22.333,6.162,10.264,13.03,12.885,9.658,6.601,9.359,11.043,6.466,6.025,6.188,5.393,6.161,4.79,1840.64,1481.728,1.552,3389.547,2769.116
./fastapi_app/Голосовые/Валентин/Балачков Валентин Собака (2).wav,Валентин,Собака,-306.788,122.914,1.959,6.542,10.919,-3.651,1.711,-6.842,-14.17,-1.934,0.138,0.84,7.424,-0.362,1.234,1.29,-7.336,-2.161,-7.643,-1.443,124.426,67.357,25.008,9.139,11.724,19.423,6.862,9.661,16.076,11.765,8.209,7.879,9.592,8.957,4.063,6.718,6.639,4.71,4.989,3.337,2026.786,1520.675,1.314,3907.469,2914.087
./fastapi_app/Голосовые/Валентин/Балачков Валентин Собака (3).wav,Валентин,Собака,-322.273,131.677,5.007,6.786,8.149,-10.799,3.44,-8.49,-14.812,-5.346,1.345,-0.682,7.382,-6.412,-0.302,1.841,-9.123,-1.897,-8.754,-3.027,143.736,72.859,31.369,13.083,9.959,21.442,7.765,8.988,11.431,10.513,6.288,6.267,12.327,10.732,5.993,7.347,6.311,4.158,6.294,4.08,1915.3,1607.082,1.909,3620.759,2765.995
./fastapi_app/Голосовые/Валентин/Балачков Валентин Собака (4).wav,Валентин,Собака,-317.029,125.384,3.765,4.123,9.871,-11.817,5.494,-9.841,-13.406,-2.707,1.681,-1.74,7.843,-4.598,-2.849,1.853,-9.519,-0.704,-8.105,-1.556,120.129,76.102,28.598,8.866,9.204,21.347,7.011,9.497,13.298,10.715,7.695,4.933,13.942,9.474,5.699,5.781,6.733,4.964,5.758,4.999,2333.51,1967.672,1.146,4132.443,3366.342
./fastapi_app/Голосовые/Валентин/Балачков Валентин Собака (5).wav,Валентин,Собака,-360.139,125.86,8.022,5.665,6.177,-6.707,5.955,-4.413,-9.736,-2.954,1.613,1.514,6.909,-2.686,-2.678,0.388,-6.953,0.053,-6.178,-0.61,151.241,75.649,29.353,13.609,13.364,17.425,8.022,9.305,11.483,11.371,8.391,6.411,10.315,7.698,5.053,4.293,5.823,4.668,6.001,4.327,2144.255,1593.608,1.493,4429.722,3052.877
./fastapi_app/Голосовые/Валентин/Балачков Валентин Шкаф (1).wav,Валентин,Шкаф,-373.293,102.061,-5.517,15.758,13.372,-2.645,9.507,-4.53,-7.736,3.556,6.136,4.498,3.072,-2.907,-1.333,2.614,-3.245,-0.036,-5.907,-1.616,151.346,55.442,40.141,23.259,9.771,18.384,7.285,9.978,12.401,6.038,7.342,6.111,6.163,7.808,5.671,5.837,3.122,5.618,6.349,4.19,2060.061,837.634,0.61,4278.647,2083.281
./fastapi_app/Голосовые/Валентин/Балачков Валентин Шкаф (2).wav,Валентин,Шкаф,-338.453,107.829,-7.04,16.492,14.376,-6.616,6.76,-2.816,-9.496,3.761,6.927,5.296,4.825,-1.475,1.668,4.867,-7.553,1.637,-6.943,-0.367,146.949,58.57,35.194,20.26,10.311,20.3,8.738,8.835,17.284,7.034,6.136,3.711,7.277,11.186,6.246,6.953,6.833,4.616,6.258,3.184,2094.987,833.351,0.239,4458.79,2388.417
./fastapi_app/Голосовые/Валентин/Балачков Валентин Шкаф (3).wav,Валентин,Шкаф,-345.415,102.162,-5.98,12.945,5.141,-4.075,11.544,-4.799,-7.743,6.379,10.2,1.856,2.929,-3.867,-1.353,1.209,-4.257,-0.135,-4.754,-2.936,138.585,52.394,38.014,20.217,11.334,20.328,8.366,8.444,17.5,7.952,6.486,4.788,7.489,7.01,4.788,8.151,4.354,5.693,7.075,5.132,2196.52,902.628,0.551,4496.524,2149.67
./fastapi_app/Голосовые/Валентин/Балачков Валентин Шкаф (4).wav,Валентин,Шкаф,-375.319,101.136,-6.024,13.843,12.217,-5.245,8.859,-3.219,-9.414,0.123,4.71,2.217,5.294,-3.05,1.217,3.475,-5.882,-0.461,-5.539,-1.326,141.259,55.135,44.681,20.128,13.651,18.069,6.666,8.687,15.712,7.036,6.272,5.617,7.867,9.667,4.591,6.278,5.093,4.955,6.136,4.711,2467.048,1370.096,1.078,5016.747,2870.514
./fastapi_app/Голосовые/Валентин/Балачков Валентин Шкаф (5).wav,Валентин,Шкаф,-381.338,104.979,-5.114,15.523,10.774,-5.968,9.414,-1.319,-7.327,1.995,4.406,2.997,3.313,1.538,-2.022,1.302,-2.717,-0.418,-4.597,-0.425,144.736,59.291,40.989,21.302,12.555,16.891,8.837,8.777,11.313,5.716,8.354,6.723,7.771,6.194,4.819,6.9,5.468,6.914,6.357,5.133,2055.064,885.185,1.222,4239.105,1925.6
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Вход (1).wav,Владимир,Вход,-414.349,123.751,-17.855,19.691,-7.715,-4.916,-2.264,5.021,-8.211,-8.393,-4.55,-8.465,-4.831,-1.799,-0.458,-4.13,-1.671,-1.216,0.086,-6.744,119.984,53.471,38.419,12.658,26.749,22.757,11.306,9.519,14.134,9.917,8.229,6.963,8.81,10.197,6.622,7.459,6.331,3.535,7.15,4.698,1538.826,530.071,0.029,3036.671,1141.456
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Вход (2).wav,Владимир,Вход,-399.456,146.639,-19.363,27.523,-16.05,0.684,-8.317,5.106,-10.434,-1.376,-4.892,-6.293,-3.077,-5.397,3.491,-4.526,1.477,-3.707,4.343,-3.992,90.303,38.516,23.39,16.604,16.17,23.4,11.861,12.469,11.427,9.33,8.941,5.455,8.808,6.163,6.202,6.921,6.397,5.371,5.951,3.976,1496.427,536.033,0.334,3101.515,1450.062
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Вход (3).wav,Владимир,Вход,-443.048,131.852,-1.739,21.749,-8.153,-0.119,-1.976,2.871,-10.548,-4.437,-2.898,-5.12,-3.491,-3.715,0.631,-2.514,4.347,-0.611,1.374,-2.451,96.094,48.072,26.594,13.628,17.017,24.7,11.684,12.279,11.767,9.857,8.216,5.798,6.918,5.766,5.182,6.703,6.258,3.937,4.791,5.258,1556.287,665.983,1.013,3263.748,1588.051
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Вход (4).wav,Владимир,Вход,-457.3,142.589,-2.018,33.522,-4.558,2.672,3.025,7.422,-11.684,-2.835,-3.194,-6.264,-7.651,-7.61,-1.443,-7.493,-0.753,-5.701,0.908,-5.48,112.484,46.931,23.085,13.626,18.595,20.607,13.024,9.024,12.637,8.87,6.468,6.846,5.843,6.962,4.691,5.619,7.257,5.071,5.338,6.449,1248.431,501.671,0.036,2651.276,1447.286
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Вход (5).wav,Владимир,Вход,-471.459,136.936,-8.92,26.741,-11.413,0.78,4.512,7.641,-11.559,-1.042,-1.9,-5.201,-7.298,-8.572,-1.649,-6.647,1.614,-3.963,-0.53,-5.188,120.088,53.666,29.482,18.442,19.938,19.158,14.098,7.316,15.374,7.96,5.023,6.05,6.237,6.709,4.926,5.783,6.896,3.791,7.095,4.459,1487.108,687.675,0.026,3168.562,1760.627
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Пицца (1).wav,Владимир,Пицца,-507.57,99.318,-0.663,34.137,2.682,15.489,-3.257,8.46,-6.714,3.691,-2.129,-5.271,-1.775,-4.363,-1.991,-5.413,0.502,-5.095,0.195,-5.294,130.54,59.0,21.071,29.986,19.9,17.082,17.647,10.286,11.367,6.891,7.893,8.138,5.872,6.291,8.476,4.777,6.052,6.141,4.688,5.374,2148.092,1258.297,0.95,4327.44,1938.388
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Пицца (2).wav,Владимир,Пицца,-481.704,95.57,3.328,32.041,5.958,10.58,-6.436,7.689,-7.225,3.96,-0.772,-4.849,-3.651,-7.723,-0.726,-3.387,-0.547,-3.881,-2.079,-5.989,141.268,50.649,25.835,32.098,17.715,10.545,21.455,9.07,15.206,7.25,7.567,11.549,4.442,7.616,9.609,5.903,6.137,5.039,4.602,4.975,1973.407,1001.396,1.248,4214.099,1765.413
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Пицца (3).wav,Владимир,Пицца,-484.032,102.423,-2.01,31.983,5.427,10.986,-4.296,7.408,-9.06,2.979,-1.648,-7.102,-4.62,-8.904,-1.903,-4.993,-2.381,-5.633,-2.934,-5.475,127.019,53.779,23.772,32.146,18.37,13.658,21.387,10.913,14.706,7.93,7.774,9.073,5.865,7.976,9.36,6.239,6.065,5.092,6.21,4.83,1987.826,1174.033,1.296,4065.674,1889.64
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Пицца (4).wav,Владимир,Пицца,-497.946,102.737,-2.86,30.147,3.388,8.521,-5.174,7.459,-10.001,3.025,-2.845,-7.632,-4.073,-7.117,-1.571,-5.153,-1.903,-6.049,-3.377,-5.416,131.491,54.603,25.782,31.26,18.276,14.078,19.021,11.546,14.556,8.271,7.038,9.991,5.521,7.147,9.204,6.347,5.784,5.737,5.956,4.545,2015.77,1179.248,1.427,4151.259,1859.283
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Пицца (5).wav,Владимир,Пицца,-505.479,107.613,0.035,35.748,4.492,8.612,-5.118,7.774,-10.029,3.624,-1.718,-6.473,-2.06,-6.966,-1.77,-4.865,-1.363,-5.524,-2.584,-6.972,123.605,55.928,22.052,30.858,20.676,14.247,17.025,10.576,14.734,8.851,7.216,11.006,5.198,6.552,9.203,5.836,5.815,5.022,4.94,5.04,1929.015,1121.125,1.179,4134.13,1916.453
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Привет (1).wav,Владимир,Привет,-374.592,130.108,-25.586,47.831,15.427,5.698,-0.789,5.849,-5.624,6.683,0.962,-8.365,-0.546,-3.362,3.706,0.547,3.307,0.887,6.342,-2.405,107.735,44.098,33.141,29.357,21.859,19.653,11.795,8.842,11.409,4.503,9.698,10.646,5.351,4.845,6.195,7.044,3.793,4.13,5.137,5.43,1605.206,625.52,0.659,3510.891,1329.878
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Привет (2).wav,Владимир,Привет,-455.063,112.32,-19.769,33.591,17.891,-3.718,-2.265,-2.537,-9.246,0.082,-3.285,-11.243,-5.727,-5.656,-2.311,-0.725,-1.918,-2.941,0.862,-4.549,144.671,58.923,43.343,28.347,22.513,17.954,10.237,7.865,11.276,5.571,9.158,10.007,5.54,4.607,3.786,5.759,4.059,5.58,4.906,3.828,1835.321,630.092,-0.212,4069.286,1441.961
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Привет (3).wav,Владимир,Привет,-406.692,134.315,-28.766,40.529,15.718,-6.493,-4.792,-1.661,-15.844,-1.187,-5.896,-13.48,-3.697,-5.104,0.006,-1.27,-1.575,-2.421,2.881,-8.505,118.346,48.522,42.684,26.71,22.275,18.722,11.923,8.268,10.68,6.692,9.577,11.603,5.138,6.446,7.299,4.376,4.253,4.349,5.098,4.271,1641.585,700.02,1.073,3525.817,1470.062
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Привет (4).wav,Владимир,Привет,-396.664,132.596,-30.618,41.012,14.161,-4.873,-5.845,-1.993,-12.902,0.812,-6.673,-15.215,-7.046,-8.331,-1.841,0.997,2.36,-0.101,5.664,-4.667,112.368,45.343,37.656,27.124,21.95,18.72,10.724,9.103,9.365,6.405,10.123,9.874,4.218,4.346,5.399,4.058,5.676,6.351,4.14,7.489,1605.876,538.387,0.901,3458.037,1200.318
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Привет (5).wav,Владимир,Привет,-411.693,134.413,-27.538,43.031,17.704,1.972,-9.733,-3.41,-13.462,0.577,-2.934,-13.03,-3.473,-4.92,2.537,0.25,-1.029,-0.003,6.741,-3.961,104.962,42.66,35.776,28.004,22.822,17.874,10.786,6.977,10.897,6.174,9.558,9.93,7.195,7.27,6.8,6.021,3.932,6.401,5.058,2.625,1531.667,714.491,2.001,3171.743,1212.918
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Собака (1).wav,Владимир,Собака,-421.271,146.666,-21.824,21.107,-9.903,6.561,-4.827,6.34,-14.334,1.617,1.584,-2.126,-4.262,-10.036,-1.458,-5.349,2.613,-8.786,-3.287,-5.435,123.431,70.509,37.385,11.686,17.514,20.602,16.006,13.998,12.194,9.834,8.774,7.063,7.239,5.71,5.254,4.274,3.707,6.28,4.529,6.498,1764.658,1376.708,1.84,3196.212,2055.759
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Собака (2).wav,Владимир,Собака,-443.297,144.796,-14.611,14.934,-5.371,6.96,-3.68,6.79,-10.281,-0.679,-0.031,-0.213,-5.28,-7.899,-0.591,-3.563,0.72,-8.773,-1.184,-4.214,138.333,72.551,32.144,10.704,17.029,21.072,19.689,12.746,13.005,10.457,5.659,5.989,4.065,6.36,6.678,5.648,6.896,8.011,4.166,5.112,1673.102,1150.249,1.536,3208.937,2132.195
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Собака (3).wav,Владимир,Собака,-429.014,149.277,-15.354,19.036,-9.614,9.523,1.073,5.272,-10.113,2.291,-0.176,-0.439,-2.617,-7.43,-2.294,-5.82,1.323,-8.079,-3.03,-4.595,119.794,70.033,30.613,12.131,17.401,20.444,19.017,14.262,11.892,11.702,7.399,7.018,5.892,6.202,7.605,4.266,5.454,6.822,5.972,5.631,1608.586,1248.94,1.608,2867.586,2130.785
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Собака (4).wav,Владимир,Собака,-435.904,151.623,-17.807,22.064,-11.887,10.905,-3.563,6.525,-10.869,2.771,-0.607,-0.358,-5.204,-11.323,-2.391,-5.811,2.123,-9.697,-1.723,-5.659,127.707,71.407,32.761,10.329,18.701,19.702,16.668,13.938,11.123,12.951,6.09,6.69,5.747,5.18,6.149,6.11,6.083,6.558,4.312,6.525,1686.676,1381.417,1.651,2963.262,2244.872
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Собака (5).wav,Владимир,Собака,-432.295,151.717,-23.388,24.733,-10.717,11.358,-4.432,6.76,-12.641,2.149,0.428,-0.937,-6.047,-9.443,-0.059,-5.174,1.917,-9.934,-2.48,-4.888,117.164,75.408,30.927,13.378,18.2,23.485,15.678,12.243,12.601,12.175,7.14,7.278,5.699,6.353,7.014,6.032,6.145,5.829,5.341,5.455,1691.655,1337.735,1.438,2941.974,2199.092
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Шкаф (1).wav,Владимир,Шкаф,-479.509,103.105,-55.089,33.005,-20.148,17.923,-16.177,9.58,-12.785,1.352,4.701,0.158,-2.936,-12.241,1.216,-3.306,4.184,-7.603,0.983,-4.593,143.101,62.794,45.963,24.194,18.207,17.303,14.037,12.373,9.953,4.419,7.232,4.817,3.956,5.092,7.185,6.028,6.433,6.676,5.394,5.496,2310.205,753.263,-0.335,4377.602,1399.924
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Шкаф (2).wav,Владимир,Шкаф,-480.791,117.189,-33.227,25.469,-13.944,9.54,-8.514,4.248,-11.182,0.672,3.856,-0.173,-0.979,-8.521,0.325,-3.346,2.461,-7.116,-0.777,-2.768,125.704,58.683,40.598,21.007,13.226,13.622,10.191,10.747,10.446,6.788,6.654,6.596,3.662,5.097,5.426,4.726,5.062,6.98,5.191,4.654,1974.42,681.113,0.243,3923.692,1320.641
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Шкаф (3).wav,Владимир,Шкаф,-473.484,111.787,-40.029,24.671,-13.092,11.2,-8.744,8.653,-10.315,0.113,2.453,1.352,0.489,-11.268,1.376,-2.04,2.582,-5.898,-0.715,-3.905,131.456,57.618,43.696,22.507,11.756,14.327,13.96,10.426,11.211,5.667,5.868,6.241,3.546,8.378,5.536,5.614,5.665,6.061,4.376,4.401,2034.904,628.959,-0.074,4038.944,1312.692
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Шкаф (4).wav,Владимир,Шкаф,-492.727,103.75,-43.614,33.757,-14.443,19.671,-11.269,5.824,-11.924,2.425,4.032,-2.983,-1.423,-11.128,0.513,-2.836,3.953,-8.27,-2.735,-5.255,131.357,58.399,43.689,22.621,13.031,18.437,11.45,10.663,9.502,5.519,4.684,6.792,4.625,5.736,5.934,4.213,5.722,5.631,4.871,5.42,2230.267,725.021,-0.113,4398.646,1335.235
./fastapi_app/Голосовые/Владимир/Шарубин Владимир Шкаф (5).wav,Владимир,Шкаф,-465.69,99.117,-49.817,34.02,-18.635,19.389,-16.037,9.662,-11.757,1.576,4.374,-3.539,-1.844,-13.524,1.13,-2.963,4.313,-7.901,0.586,-1.48,125.232,68.365,46.671,25.401,16.127,17.756,15.119,15.027,8.119,5.041,7.205,6.735,3.965,5.809,6.932,5.52,5.641,6.45,4.901,6.108,2469.72,1068.71,0.774,4472.055,1584.627
./fastapi_app/Голосовые/Данил Лебедев/Лебедев Данил Вход (1).wav,Данил Лебедев,Вход,-503.757,75.095,19.387,20.803,0.681,4.758,-11.432,8.734,-10.144,-1.826,-4.797,-4.242,-3.311,-1.242,1.334,-1.746,-5.763,-2.331,-2.068,-4.809,173.145,57.812,28.205,21.62,18.047,12.002,11.995,7.272,10.118,8.143,7.906,7.39,3.752,4.174,6.879,6.248,5.41,3.779,4.837,4.558,1235.325,1134.178,0.782,2763.346,2774.469
./fastapi_app/Голосовые/Данил Лебедев/Лебедев Данил Вход (2).wav,Данил Лебедев,Вход,-544.65,72.401,18.708,18.925,-0.404,0.146,-10.383,15.06,-9.894,-0.269,-2.963,-3.031,-1.526,-2.599,0.849,-1.177,-3.285,-0.927,-1.543,-4.589,152.731,65.227,23.242,25.628,23.228,16.978,11.639,13.128,10.393,7.002,8.744,8.757,3.59,6.585,6.269,3.932,6.698,4.506,3.73,5.148,1455.775,1474.377,0.715,3135.039,3322.824
./fastapi_app/Голосовые/Данил Лебедев/Лебедев Данил Вход (3).wav,Данил Лебедев,Вход,-530.175,86.804,10.72,23.323,2.425,-1.543,-6.629,9.528,-9.346,-3.329,-6.144,-2.294,-3.262,-3.374,3.234,-1.308,-2.679,0.499,-0.288,-4.416,160.391,71.938,28.896,25.256,19.051,16.698,12.225,10.472,10.23,7.725,9.948,6.166,4.011,7.829,7.598,6.09,6.817,4.677,6.915,5.467,1062.185,1108.195,1.113,2045.899,2424.546
